ID_author,AU_ID_scopus,full_name,affiliation
358,57194599934,Braojos M.,Universidad de Castilla-La Mancha
359,25927885500,Lacasa E.,Universidad de Castilla-La Mancha
360,57202511036,Pedroche J.,Universidad de Castilla-La Mancha
361,56072101200,Barba S.,Universidad de Castilla-La Mancha
362,57192377870,Fernández-Rodríguez D.,Universidad de Castilla-La Mancha
363,57201275703,Patiño-Camino R.,Universidad de Castilla-La Mancha
364,57193325037,Velhac P.,Universidad de Castilla-La Mancha
365,16642541300,Herreros J.M.,Universidad de Castilla-La Mancha
366,7003291816,Motheo A.J.,Universidad de Castilla-La Mancha
367,57192373173,Cova-Bonillo A.,Universidad de Castilla-La Mancha
368,57191628283,Isidro J.,Universidad de Castilla-La Mancha
369,57201652613,Cantone A.,Universidad de Castilla-La Mancha
370,57200379394,Lara-Díaz J.,Universidad de Castilla-La Mancha
371,57204037439,Argudo-Santamaria J.,Universidad de Castilla-La Mancha
372,57200148598,Carboneras M.B.,Universidad de Castilla-La Mancha
373,54944384400,Ramos A.,Universidad de Castilla-La Mancha
374,57189592535,Caballero-Mancebo E.,Universidad de Castilla-La Mancha
375,57191252800,Carretero A.G.,Universidad de Castilla-La Mancha
376,56052322500,Lopez V.,Universidad de Castilla-La Mancha
377,55984516200,Cuenca N.,Universidad de Castilla-La Mancha
378,57195463025,Mena I.,Universidad de Castilla-La Mancha
379,57195725962,Rodríguez M.,Universidad de Castilla-La Mancha
380,36339318600,Galar P.,Universidad de Castilla-La Mancha
381,57196791154,Gomez L.,Universidad de Castilla-La Mancha
382,7006102428,Bermúdez A.,Universidad de Castilla-La Mancha
383,36998306500,Asensio L.,Universidad de Castilla-La Mancha
384,57201213722,Díaz-Abad S.,Universidad de Castilla-La Mancha
385,57201212692,Peláez M.,Universidad de Castilla-La Mancha
386,57211372489,León L.F.,Universidad de Castilla-La Mancha
387,56516844500,Sena-Moreno E.,Universidad de Castilla-La Mancha
388,57200101430,Alvarez-Ortí M.,Universidad de Castilla-La Mancha
389,57196063498,Sierra J.M.,Universidad de Castilla-La Mancha
390,55513122700,Garrido P.,Universidad de Castilla-La Mancha
391,57202257977,Douhal Y.,Universidad de Castilla-La Mancha
392,6603193971,Organero J.,Universidad de Castilla-La Mancha
393,57204637148,Peco N.,Universidad de Castilla-La Mancha
394,57210960478,Muñoz-Garcia N.,Universidad de Castilla-La Mancha
395,57194137154,Córcoles-Parada M.,Universidad de Castilla-La Mancha
396,57197788717,Ubero-Martínez M.,Universidad de Castilla-La Mancha
397,54929496600,Serrano de la Hoz K.,Universidad de Castilla-La Mancha
398,57484754200,García-Martínez M.M.,Universidad de Castilla-La Mancha
399,57209808773,Sánchez-Martínez J.F.,Universidad de Castilla-La Mancha
400,56899347000,García E.,Universidad de Castilla-La Mancha
401,57209258935,Francisco ,Universidad de Castilla-La Mancha
402,57209257017,López-Bellido J.,Universidad de Castilla-La Mancha
403,35329203400,Borreguero A.M.,Universidad de Castilla-La Mancha
404,57210257942,Martínez-Navarro M.E.,Universidad de Castilla-La Mancha
